names;H_EC;H_SUB;H_CA1;H_CA23;H_DG;H_AL;H_LAMO;B_EC;B_SUB;B_CA1;B_CA23;B_DG;B_AL;B_FI;B_LAMO;T_SUB;T_CA1;T_CA23;T_DG;T_AL;T_FI;T_LAMO
H_EC;0;108000;12000;0;0;4000;0;34000;49000;6000;0;0;0;0;0;6000;0;0;0;0;0;0
H_SUB;108000;0;168000;20000;80000;44000;49000;0;80000;15000;0;0;4000;0;0;0;0;0;0;0;0;0
H_CA1;12000;168000;0;152000;80000;532000;628000;0;40000;44000;0;0;15000;0;8000;0;0;0;0;0;0;0
H_CA23;0;20000;152000;0;244000;640000;192000;0;0;0;34000;0;6000;0;0;0;0;0;0;0;0;0
H_DG;0;80000;80000;244000;0;104000;496000;0;0;0;4000;36000;6000;0;0;0;0;0;0;0;0;0
H_AL;4000;44000;532000;640000;104000;0;6000;0;0;0;0;0;44000;0;0;0;0;0;0;0;0;0
H_LAMO;0;49000;628000;192000;496000;6000;0;0;0;4000;0;4000;0;0;20000;0;0;0;0;0;0;0
B_EC;34000;0;0;0;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;0;0;0
B_SUB;49000;80000;40000;0;0;0;0;4000;0;140000;0;4000;4000;0;6000;80000;15000;0;0;6000;0;0
B_CA1;6000;15000;44000;0;0;0;4000;0;140000;0;38000;8000;172000;0;424000;0;24000;0;0;8000;0;6000
B_CA23;0;0;0;34000;4000;0;0;0;0;38000;0;152000;206000;8000;56000;0;0;60000;0;8000;4000;0
B_DG;0;0;0;0;36000;0;4000;0;4000;8000;152000;0;80000;15000;280000;0;0;4000;36000;0;0;4000
B_AL;0;4000;15000;6000;6000;44000;0;0;4000;172000;206000;80000;0;120000;0;0;0;0;4000;15000;8000;0
B_FI;0;0;0;0;0;0;0;0;0;0;8000;15000;120000;0;0;0;0;0;0;0;17000;0
B_LAMO;0;0;8000;0;0;0;20000;0;6000;424000;56000;280000;0;0;0;0;4000;0;0;0;0;15000
T_SUB;6000;0;0;0;0;0;0;0;80000;0;0;0;0;0;0;0;80000;0;8000;4000;0;26000
T_CA1;0;0;0;0;0;0;0;0;15000;24000;0;0;0;0;4000;80000;0;52000;8000;124000;0;210000
T_CA23;0;0;0;0;0;0;0;0;0;0;60000;4000;0;0;0;0;52000;0;120000;144000;28000;26000
T_DG;0;0;0;0;0;0;0;0;0;0;0;36000;4000;0;0;8000;8000;120000;0;31000;31000;100000
T_AL;0;0;0;0;0;0;0;0;6000;8000;8000;0;15000;0;0;4000;124000;144000;31000;0;164000;0
T_FI;0;0;0;0;0;0;0;0;0;0;4000;0;8000;17000;0;0;0;28000;31000;164000;0;0
T_LAMO;0;0;0;0;0;0;0;0;0;6000;0;4000;0;0;15000;26000;210000;26000;100000;0;0;0
